Original: 0.06214868277201458, Segmented: 0.3169557523956891, Segmented2: 0.5153428044780778
Original: 0.11058775451634327, Segmented: 0.262721006398738, Segmented2: 0.34781842804908336
Original: 0.22874091164875687, Segmented: 0.37627596068404273, Segmented2: 0.5313914151421373
Original: 0.08427323486094503, Segmented: 0.34289749378474554, Segmented2: 0.40673861980975445
Original: 0.10341441525420195, Segmented: 0.6072515321449574, Segmented2: 0.6954132740374308
Original: 0.07730856935765464, Segmented: 0.34021803220832597, Segmented2: 0.3963830099298391
Original: 0.11153922258726166, Segmented: 0.30461481755927655, Segmented2: 0.4115252687781364
Original: 0.07923500512548837, Segmented: 0.32164955803732553, Segmented2: 0.37925217799471383
Original: 0.14161281384845203, Segmented: 0.5508203561885522, Segmented2: 0.6468862124657397
Original: 0.10691712728207817, Segmented: 0.32450851063687697, Segmented2: 0.4196721781437134
Original: 0.32492231575937686, Segmented: 0.5089993437064309, Segmented2: 0.6164221765004614
Original: 0.12012258117400741, Segmented: 0.46953225088464706, Segmented2: 0.5695208498563864
Original: 0.06622817171917235, Segmented: 0.3049793243339337, Segmented2: 0.41424793292408313
Original: 0.133627199982574, Segmented: 0.30072283234662234, Segmented2: 0.39928988375738717
Original: 0.16410291078856803, Segmented: 0.46708745836093135, Segmented2: 0.5152824737440463
Original: 0.07369072555660937, Segmented: 0.5034380150745071, Segmented2: 0.6732680580635872
Original: 0.05527268853626974, Segmented: 0.49233993376236945, Segmented2: 0.5804614140137068
Original: 0.0591787357975014, Segmented: 0.3162253146473342, Segmented2: 0.41122684443662266
Original: 0.07987364108130114, Segmented: 0.6256628781974379, Segmented2: 0.6551033428926386
Original: 0.052921454678609474, Segmented: 0.5369154989076304, Segmented2: 0.6531504769382388
Original: 0.06383510886587913, Segmented: 0.5530999183919951, Segmented2: 0.5583206691236049
Original: 0.05094745256686268, Segmented: 0.4316546339287004, Segmented2: 0.4775385880684231
Original: 0.17119451636179867, Segmented: 0.45643352934524695, Segmented2: 0.5505014836213054
Original: 0.1353681410824514, Segmented: 0.47085580006947486, Segmented2: 0.5746750850779723
Original: 0.12639085210265583, Segmented: 0.4048087718479502, Segmented2: 0.5256399061378944
